,Station,Depth_m,PAR_irradiance_Einm2-d1,PAR0+_Einm2-d1,Ratio_of_under_ice_PAR_to_surface_PAR,Ratio_of_openwater_PAR_to_surface_PAR,IceConcentration_percent,Sampled_under_ice_or_in_open_water
4413,303.0,37.5,0.39801782596031404,34.812287999999995,NaN,0.011433256727058966,0.0,OW
4414,303.0,38.0,0.36807406925937153,34.812287999999995,NaN,0.010573107669894366,0.0,OW
4415,303.0,38.5,0.3402448816245618,34.812287999999995,NaN,0.009773700643421134,0.0,OW
4416,303.0,39.0,0.3144008584766801,34.812287999999995,NaN,0.009031318437807941,0.0,OW
4417,303.0,39.5,0.29039596997958234,34.812287999999995,NaN,0.008341766274586214,0.0,OW
4418,303.0,40.0,0.26808263506168545,34.812287999999995,NaN,0.007700804815290667,0.0,OW
4419,303.0,40.5,0.2472996840071409,34.812287999999995,NaN,0.007103804381003079,0.0,OW
4420,303.0,41.0,0.2278882932775266,34.812287999999995,NaN,0.006546202687899359,0.0,OW
4421,303.0,41.5,0.2097211318171085,34.812287999999995,NaN,0.006024342089124063,0.0,OW
4422,303.0,42.0,0.19270839707621087,34.812287999999995,NaN,0.00553564296251401,0.0,OW
4423,303.0,42.5,0.17678187504071688,34.812287999999995,NaN,0.005078145827149221,0.0,OW
4424,303.0,43.0,0.16189986081724864,34.812287999999995,NaN,0.0046506526895689435,0.0,OW
4425,303.0,43.5,0.1480546094087103,34.812287999999995,NaN,0.004252941070943407,0.0,OW
4426,303.0,44.0,0.13524436596296607,34.812287999999995,NaN,0.003884960562286687,0.0,OW
4427,303.0,44.5,0.12345422555974259,34.812287999999995,NaN,0.003546283012473717,0.0,OW
4428,303.0,45.0,0.11265138543005442,34.812287999999995,NaN,0.0032359661459210732,0.0,OW
4429,303.0,45.5,0.10278631953345073,34.812287999999995,NaN,0.0029525873028928965,0.0,OW
4430,303.0,46.0,0.09378434992215942,34.812287999999995,NaN,0.0026940013228133534,0.0,OW
4431,303.0,46.5,0.08556579321018246,34.812287999999995,NaN,0.00245791926144534,0.0,OW
4432,303.0,47.0,0.07806191510517196,34.812287999999995,NaN,0.0022423666926222135,0.0,OW
4433,303.0,47.5,0.07120490633955699,34.812287999999995,NaN,0.002045395761966493,0.0,OW
